Category,Description,UOM,Customer Price,SKU,UPC,Manufacturer Part Number,Source Date
Fittings,6-IN STEEL 2 HOLE STRAP,ea,16.0419,299328,78599421527,SEPCO 2152S,2026-08-25
Fittings,4-IN MALL SET SCREW INS BUS,ea,40.3126,299333,78599412709,SEPCO 29BIOLSS,2026-08-25
Fittings,1/2 MALL CLAMP BACK,ea,0.5311,299347,78599489009,SEPCO 900,2026-08-25
Conductor,1-IN SER/MC CONNECTOR,ea,1.9105,299355,78599464601,SEPCO C50S,2026-08-25
Conductor,1-1/2 SER/MC CONNECTOR,ea,3.3405,299358,78599464603,SEPCO C52S,2026-08-25
Fittings,2-1/2 D/C STR LIQ-TITE CONN,ea,61.4439,299370,78599414332,SEPCO LT33,2026-08-25
Fittings,3IN D/C STR LIQ-TITE CONN.,ea,78.4156,299374,78599414342,SEPCO LT34,2026-08-25
Fittings,4IN D/C STR LIQ-TITE CONN.,ea,87.9895,299380,78599414612,SEPCO LT61,2026-08-25
Fittings,2-1/2 D/C 90D L/T CONNECTOR,ea,82.0831,299383,78599414652,SEPCO LT65,2026-08-25
Fittings,3IN D/C 90D L/T CONNECTOR,ea,88.2315,299387,78599414662,SEPCO LT66,2026-08-25
Fittings,4-IN LT 90D DC,ea,114.0785,299394,78599414682,SEPCO LT68,2026-08-25
Fittings,1/2 ST EMT CONN COMP RAINTI,ea,1.0382,299397,78599462201,SEPCO S1010RT,2026-08-25
Fittings,3/4 ST EMT CONN COMP RAINTI,ea,1.3669,299400,78599462202,SEPCO S1011RT,2026-08-25
Fittings,1 ST EMT CONN COMP RAINTIGH,ea,2.1353,299403,78599462203,SEPCO S1012RT,2026-08-25
Fittings,11/4 ST EMT CONN COMP RAINT,ea,3.4910,299407,78599462204,SEPCO S1013RT,2026-08-25
Fittings,11/2 ST EMT CONN COMP RAINT,ea,4.3201,299411,78599462205,SEPCO S1014RT,2026-08-25
Fittings,2 ST EMT CONN COMP RAINTIGH,ea,5.7274,299414,78599462206,SEPCO S1015RT,2026-08-25
Fittings,1/2 ST EMT COUP COMP RAINTI,ea,1.1986,299417,78599462401,SEPCO S1016RT,2026-08-25
Fittings,3/4 ST EMT COUP COMP RAINTI,ea,1.4494,299421,78599462402,SEPCO S1017RT,2026-08-25
Fittings,1 ST EMT COUP COMP RAINTIGH,ea,2.4844,299425,78599462403,SEPCO S1018RT,2026-08-25
Fittings,11/4 ST EMT COUP COMP RAINT,ea,3.7422,299428,78599462404,SEPCO S1019RT,2026-08-25
Fittings,11/2 ST EMT COUP COMP RAINT,ea,4.8631,299431,78599462405,SEPCO S1020RT,2026-08-25
Fittings,2 ST EMT COUP COMP RAINTIGH,ea,5.6055,299434,78599462406,SEPCO S1021RT,2026-08-25
Fittings,1-1/2 1H MALL COND S,ea,2.1739,95767,78599481361,SEPCO 136,2026-08-25
Conduit & Raceway,1/2 STL S/SCR EMT CPLG,ea,0.2052,95788,78599462107,SEPCO S1113,2026-08-25
Fittings,1/2 AL CONDUIT BODY,ea,1.3034,95818,78599449105,SEPCO 01A,2026-08-25
Fittings,5-IN STEEL LOCKNUT,ea,18.9986,95823,78599417161,SEPCO 716,2026-08-25
Fittings,3/4 AL LR COND BODY,ea,5.8701,1181837,78599410100,SEPCO LR2ACG,2026-08-25
Fittings,1/2 STL CONDUIT BODY COVER,ea,0.8378,95858,78599449017,SEPCO 01,2026-08-25
Fittings,1-1/4 WT SEC CONN,ea,8.9699,95885,78599413672,SEPCO 1066,2026-08-25
Conduit & Raceway,1-1/2 2H STL EMT S,ea,0.3968,95886,78599421467,SEPCO 2146S,2026-08-25
Fittings,1-1/2 D/C STR L/T C,ea,9.4808,95975,78599414312,SEPCO LT31,2026-08-25
Fittings,1-IN STL S/SCR EMT CONN,ea,0.5920,95980,78599462027,SEPCO S1112,2026-08-25
Fittings,1/2 BOX SPACER,ea,1.6431,186424,78599470504,SEPCO BS50,2026-08-25
Fittings,2-1/2 AL LB COND BO,ea,62.9609,96201,78599440075,SEPCO LB7A,2026-08-25
Conduit & Raceway,1-1/4 1H STL EMT ST,ea,0.4900,96256,78599481457,SEPCO 145S,2026-08-25
Fittings,4 TO 6-IN MALL GRD C,ea,54.9659,96273,78599443614,SEPCO 36A,2026-08-25
Fittings,1-1/4 90D SQZ FLEX C,ea,12.5978,96293,78599433811,SEPCO C38,2026-08-25
Fittings,2-IN INS 90D SQZ C,ea,18.8752,96322,78599434067,SEPCO C40ZT,2026-08-25
Fittings,2-1/2 COND HGR W/BO,ea,1.3673,96327,78599411672,SEPCO 16CS,2026-08-25
Fittings,1-1/2 2H STL COND,ea,0.4128,96335,78599421367,SEPCO 2136S,2026-08-25
Conduit & Raceway,1/2 S/SCR EMT PULL,ea,3.7164,96435,78599413262,SEPCO 1326,2026-08-25
Fittings,1-1/4 STL COMP EMT CONN,ea,1.2736,96541,78599461037,SEPCO S1013,2026-08-25
Grounding & Bonding,5/8 BRONZE GRD ROD C,ea,2.3121,96553,78599452014,SEPCO 201,2026-08-25
Fittings,2X1 RED BUSH,ea,5.4285,96577,78599480137,SEPCO CR13,2026-08-25
Fittings,1/2 STEEL LOCKNUT,ea,0.1064,96610,78599417061,SEPCO 706,2026-08-25
Conduit & Raceway,1-IN STL COMP EMT CPLG,ea,0.9664,96685,78599461127,SEPCO S1018,2026-08-25
Fittings,4IN MALL C CONDUIT B,ea,221.6168,96790,78599443100,SEPCO C10,2026-08-25
Fittings,1-1/4X3/4 RED BUSH,ea,3.1187,96891,78599480057,SEPCO CR5,2026-08-25
Fittings,3/4 STEEL STR CONN,ea,4.8458,96900,78599414223,SEPCO NTC75,2026-08-25
Conduit & Raceway,1/2 AL S/S LB EMT,ea,3.9571,96952,78599445015,SEPCO LB1AT,2026-08-25
Fittings,1-1/4 90D PULL ELL&,ea,12.1877,96959,78599413162,SEPCO 1316,2026-08-25
Fittings,1-1/2 1H STL COND S,ea,1.0033,96966,78599481367,SEPCO 136S,2026-08-25
Fittings,1-1/2 90D SQZ FLEX C,ea,21.8157,97000,78599433911,SEPCO C39,2026-08-25
Fittings,4-IN D/C INS BUS,ea,15.7636,97120,78599428061,SEPCO 29BIZOL,2026-08-25
Fittings,1/2 SEALING LOCKNUT,ea,1.1736,97138,78599417063,SEPCO 706P,2026-08-25
Fittings,4-IN 3PC MALL COND,ea,134.1552,97215,78599410311,SEPCO 1031,2026-08-25
Fittings,2IN THD W/T HUB,ea,14.3384,146406,78599470875,SEPCO CHM200,2026-08-25
Fittings,2-IN D/C OFFSET NIPP,ea,7.6529,97230,78599413462,SEPCO C46,2026-08-25
Fittings,4-IN AL S/S LB EM,ea,136.9109,97248,78599445105,SEPCO LB10AT,2026-08-25
Fittings,1-1/4 90D SQZ FLEX,ea,7.1208,97411,78599433816,SEPCO C38Z,2026-08-25
Fittings,4-IN D/C INS BU,ea,20.7090,97459,78599428062,SEPCO 29BIZ4OL,2026-08-25
Fittings,7/16 ANTI-SHORT BUSH BAG-35,ea,2.1302,97487,78599455526,SEPCO 2,2026-08-25
Fittings,1-IN 90D SQZ FLEX CO,ea,7.2431,97520,78599433711,SEPCO C37,2026-08-25
Fittings,2-IN COND HGR W/BOL,ea,1.0259,97527,78599411572,SEPCO 15CS,2026-08-25
Fittings,3/8 90D SQZ FLEX CO,ea,0.5934,97545,78599432252,SEPCO C25Z,2026-08-25
Fittings,5-IN MALL INS BUS,ea,50.7630,97613,78599428063,SEPCO 30BIOC,2026-08-25
Fittings,1-1/4 D/C CAPPED BU,ea,2.3184,97717,78599418232,SEPCO 823Z,2026-08-25
Fittings,1/2 AL C CONDUIT BOD,ea,3.8666,97744,78599443015,SEPCO C1A,2026-08-25
Fittings,6-IN STEEL LOCKNUT,ea,28.0420,97774,78599417171,SEPCO 717,2026-08-25
